samling_nid,samling_tittel,lenketekst,href,format,maal_nid,maal_type,maal_publisert,finnes
15510,Tipsliste til FYSAK,TL-dans,https://trivselsleder.no/tl-dans,full-adresse,,finnes_ikke,,nei
15510,Tipsliste til FYSAK,Gamechanger,https://trivselsleder.no/gamechanger,full-adresse,13658,game,ja,ja
15510,Tipsliste til FYSAK,Heia Heidi,https://trivselsleder.no/heia-heidi,full-adresse,1064,game,ja,ja
15510,Tipsliste til FYSAK,Oppdraget,https://trivselsleder.no/oppdraget,full-adresse,10173,game,ja,ja
15510,Tipsliste til FYSAK,Dyreparken,https://trivselsleder.no/dyreparken,full-adresse,3934,game,ja,ja
15510,Tipsliste til FYSAK,Bil og garasje,https://trivselsleder.no/bil-og-garasje,full-adresse,1040,game,ja,ja
15510,Tipsliste til FYSAK,"Hi, Ha, Ho",https://trivselsleder.no/hi-ha-ho,full-adresse,1178,game,ja,ja
15510,Tipsliste til FYSAK,Gladiatorene,https://trivselsleder.no/gladiatorene,full-adresse,1066,game,ja,ja
15510,Tipsliste til FYSAK,Dyrene skriker,https://trivselsleder.no/dyrene-skriker,full-adresse,1138,game,ja,ja
15510,Tipsliste til FYSAK,Ballfangeren,https://trivselsleder.no/ballfangeren,full-adresse,1198,game,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",Ertekopp,https://trivselsleder.no/ertekopp,full-adresse,8863,game,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",25-leken: Kropp og helse,https://trivselsleder.no/25-leken-om-kropp-og-helse-0,full-adresse,,finnes_ikke,,nei
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",Ballfangeren,https://trivselsleder.no/ballfangeren,full-adresse,1198,game,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",Hvilket land?,https://trivselsleder.no/hvilket-land,full-adresse,2995,atlu,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",Hoppetau/ svingtau,https://trivselsleder.no/hoppetausvingtau,full-adresse,2711,game,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",StreetRacket - Veggen,https://trivselsleder.no/streetracket-veggen,full-adresse,8866,game,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",Dance monkey,https://trivselsleder.no/dance-monkey,full-adresse,3940,game,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",TL-DANS,https://trivselsleder.no/tl-dans,full-adresse,,finnes_ikke,,nei
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",Oppdraget,https://trivselsleder.no/oppdraget,full-adresse,10173,game,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",15-leken,https://trivselsleder.no/15-leken,full-adresse,1093,game,ja,ja
16074,"Tipsliste til KRØ 5., 6. og 7. trinn",Chewbacca,https://trivselsleder.no/chewbacca,full-adresse,1184,game,ja,ja
